iter	Passed	Remaining
0	205	102353
1	237	59018
2	263	43679
3	299	37144
4	331	32787
5	361	29769
6	391	27568
7	435	26776
8	480	26204
9	500	24525
10	516	22946
11	540	21983
12	559	20976
13	592	20556
14	627	20277
15	665	20134
16	691	19642
17	728	19505
18	784	19850
19	833	19993
20	879	20058
21	925	20109
22	968	20078
23	1027	20373
24	1081	20550
25	1113	20300
26	1146	20090
27	1171	19747
28	1200	19493
29	1232	19305
30	1254	18976
31	1276	18667
32	1310	18545
33	1332	18266
34	1350	17948
35	1379	17776
36	1407	17607
37	1436	17462
38	1473	17412
39	1499	17244
40	1532	17153
41	1559	17007
42	1586	16856
43	1608	16673
44	1624	16426
45	1650	16291
46	1668	16083
47	1710	16107
48	1733	15955
49	1751	15761
50	1772	15606
51	1788	15408
52	1806	15232
53	1821	15047
54	1836	14862
55	1851	14679
56	1867	14511
57	1881	14338
58	1896	14174
59	1915	14046
60	1935	13929
61	1953	13801
62	1972	13680
63	1989	13550
64	2014	13482
65	2035	13383
66	2050	13251
67	2066	13128
68	2093	13077
69	2127	13068
70	2154	13015
71	2179	12957
72	2208	12916
73	2241	12901
74	2266	12846
75	2289	12775
76	2312	12701
77	2335	12633
78	2359	12576
79	2380	12496
80	2393	12381
81	2415	12315
82	2440	12261
83	2464	12205
84	2487	12144
85	2512	12096
86	2534	12031
87	2562	11995
88	2589	11956
89	2608	11883
90	2631	11826
91	2649	11752
92	2670	11688
93	2686	11605
94	2704	11531
95	2722	11455
96	2736	11370
97	2753	11295
98	2768	11212
99	2786	11145
100	2805	11083
101	2824	11019
102	2837	10936
103	2853	10866
104	2872	10804
105	2885	10727
106	2902	10659
107	2917	10590
108	2933	10524
109	2952	10468
110	2980	10445
111	3000	10393
112	3017	10335
113	3034	10274
114	3112	10420
115	3156	10447
116	3178	10405
117	3217	10414
118	3246	10393
119	3272	10361
120	3291	10309
121	3309	10253
122	3329	10203
123	3349	10156
124	3370	10111
125	3388	10058
126	3408	10009
127	3427	9961
128	3445	9909
129	3462	9855
130	3483	9810
131	3497	9750
132	3509	9683
133	3526	9631
134	3539	9569
135	3553	9509
136	3568	9454
137	3581	9395
138	3600	9350
139	3615	9296
140	3627	9235
141	3642	9182
142	3655	9125
143	3671	9075
144	3689	9033
145	3704	8981
146	3723	8940
147	3737	8889
148	3750	8835
149	3768	8793
150	3783	8745
151	3802	8706
152	3826	8679
153	3843	8635
154	3859	8589
155	3876	8548
156	3901	8523
157	3925	8495
158	3941	8452
159	3961	8417
160	3979	8378
161	4000	8346
162	4027	8327
163	4049	8297
164	4073	8270
165	4096	8242
166	4118	8212
167	4137	8177
168	4154	8137
169	4174	8103
170	4196	8074
171	4217	8043
172	4238	8012
173	4263	7988
174	4295	7976
175	4317	7947
176	4343	7926
177	4365	7897
178	4385	7864
179	4403	7829
180	4422	7794
181	4443	7763
182	4459	7725
183	4475	7686
184	4493	7650
185	4510	7614
186	4525	7574
187	4542	7539
188	4560	7505
189	4578	7470
190	4599	7441
191	4618	7408
192	4636	7375
193	4653	7340
194	4676	7314
195	4694	7281
196	4713	7250
197	4733	7219
198	4763	7205
199	4778	7167
200	4795	7132
201	4814	7102
202	4835	7074
203	4852	7040
204	4869	7007
205	4892	6982
206	4915	6957
207	4934	6927
208	4952	6895
209	4968	6861
210	4990	6834
211	5009	6804
212	5030	6778
213	5046	6745
