ID,TR_1_EventInd,TR_2_EventInd,TR_3_EventInd,feature_10_A,feature_10_B,feature_10_F,feature_10_G,feature_1_A,feature_1_B,feature_1_C,feature_1_D,feature_1_E,feature_1_F,feature_1_G,feature_2_A,feature_2_B,feature_2_C,feature_2_D,feature_2_E,feature_2_F,feature_2_G,feature_3_A,feature_3_B,feature_3_C,feature_3_D,feature_3_E,feature_3_F,feature_3_G,feature_4_A,feature_4_B,feature_4_C,feature_4_E,feature_4_F,feature_4_G,feature_5_A,feature_5_B,feature_5_C,feature_5_D,feature_5_E,feature_5_F,feature_5_G,feature_6_A,feature_6_B,feature_6_C,feature_6_D,feature_6_E,feature_6_F,feature_6_G,feature_7_A,feature_7_B,feature_7_C,feature_7_D,feature_7_E,feature_7_F,feature_7_G,feature_8_A,feature_8_B,feature_8_C,feature_8_D,feature_8_E,feature_8_F,feature_8_G,feature_9_A,feature_9_B,feature_9_C,feature_9_D,feature_9_E,feature_9_F,feature_9_G,feature_X_A,feature_X_B,feature_X_C,feature_X_D,index_1,index_2,index_3,Target
1,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.049,1.5424556764855792,-0.2747267340820166,0.0,0.0,1.0,0
2,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.015,1.2874729164494734,-1.1406259007642878,,,,0
3,,,,0.0,0.023,0.0,0.0,1.0,0.004,-0.224414090432823,-1.354808388019893,122.79364305714284,1.0,1.0,0.0,0.011,-1.290420995698227,1.2931168674711806,41.993285757142864,1.0,1.0,0.0,0.01,-1.728742676402557,0.3816734380995909,114.97242875714286,1.0,1.0,0.0,0.01,0.120833739746974,106.70184965714286,0.0,1.0,1.0,0.018,-1.070837092407906,-0.6021414441529589,11.492357142857143,1.0,1.0,1.0,0.009,-0.7592548464845829,0.2421380172474319,110.29171458571427,1.0,1.0,0.0,0.01,-1.7707908936896315,0.5285255187951263,209.78778533571423,1.0,0.0,1.0,0.016,-0.886496569606495,-0.9409919452457588,14.80122385714286,0.0,1.0,0.0,0.032,-1.938002606636702,0.7299954242532151,2.1618571428571425,0.0,1.0,1,0.006,0.2515010793642089,-1.2215669207022508,,,,0
4,,,,1.0,0.019,0.0,2.0,0.0,0.005,-1.3725481563949578,-1.4973207325050228,116.51550021428572,0.0,0.0,1.0,0.005,1.8910418782520444,0.1048151995352832,45.55078576428571,1.0,2.0,1.0,0.012,0.0778009559981055,-0.9357539424743752,134.0234999142857,1.0,1.0,1.0,0.004,1.5798354404512889,112.41349298571429,1.0,3.0,1.0,0.068,3.357983118582906,3.2775297435933863,24.703053542857145,1.0,2.0,0.0,0.004,1.188866798624986,-0.079340151474653,125.40535689285716,1.0,5.0,1.0,0.003,1.0440626604026613,-0.7609852031528973,228.4738571142857,1.0,1.0,1.0,0.023,1.6472728291035492,-0.3778738623168207,16.20517625714286,1.0,2.0,0.0,0.033,0.6570380626172209,-0.9823366755547344,2.4165,0.0,0.0,1,0.039,1.6737831992509755,0.5277964583154585,,,,1
5,,,1.0,1.0,0.023,0.0,2.0,1.0,0.014,1.6641075313049964,2.3542359250115874,123.7082858785714,1.0,1.0,1.0,0.014,0.8110792273839512,0.7767170106004893,56.96114284285714,1.0,2.0,1.0,0.013,0.2570195645878476,0.1122193056810341,150.78307180000002,1.0,1.0,0.0,0.004,0.7825995908144006,,0.0,2.0,0.0,0.019,0.7324359246555798,-0.8972121161819526,52.27271424285714,1.0,0.0,0.0,0.015,-1.1117720198252818,0.2605190140306989,156.6009286071429,1.0,0.0,0.0,0.011,-1.081073245247437,-0.6181656099337416,263.8277846785714,1.0,0.0,1.0,0.039,-1.113186197184906,0.1489942702967285,22.298980828571427,0.0,1.0,1.0,0.084,2.2815945740551453,1.275223218779974,3.4385714285714286,1.0,2.0,0,0.037,0.2634064573139172,-0.3019839979692073,,,,0
6,,,,0.0,0.029,0.0,0.0,1.0,0.013,2.6788806654299946,1.624079501243957,110.85007144285714,1.0,5.0,0.0,0.013,-1.106173327718328,-0.0522388268865759,39.9973572,1.0,0.0,0.0,0.015,-0.4795743357416423,1.2430367434381475,109.79357129285714,1.0,0.0,0.0,0.013,-1.187885825837693,116.99244264285714,0.0,0.0,0.0,0.027,-2.003555241790508,0.2757512895499797,7.854464285714286,1.0,0.0,0.0,0.015,-2.031556992578729,2.769624181612051,108.16064305714286,0.0,0.0,0.0,0.01,-1.6766638856006642,2.5976127430968856,201.5410711142857,1.0,0.0,0.0,0.043,-2.529438043667295,1.03334849520468,14.398457185714284,1.0,0.0,0.0,0.166,0.5748935949393322,0.4469287087567514,2.548,0.0,0.0,1,0.021,0.745788355273251,-0.9628409026969732,,,,1
7,,,,1.0,0.045,0.0,1.0,1.0,0.006,1.8653015762923693,0.7848464893283318,133.7343569,1.0,3.0,1.0,0.006,1.8647932861317336,0.3208114605975163,50.10592845,1.0,1.0,1.0,0.014,1.8064188426969208,1.4895000440256183,152.93678522857144,1.0,1.0,0.0,0.003,-2.520705777469077,,0.0,0.0,1.0,0.027,0.8372564432388828,-0.2680218552149925,42.36942854285714,1.0,1.0,1.0,0.006,1.8037525943001127,0.3502206340655605,187.87078517142857,1.0,3.0,1.0,0.005,2.002617872950153,1.931379242464509,293.0356417214286,1.0,1.0,0.0,0.021,0.8415687093653543,-0.4890133911661021,15.78263337142857,1.0,0.0,0.0,0.042,-1.5825368188391706,1.0314092106166732,4.686285714285715,0.0,0.0,1,0.016,0.8169210232481434,-0.0284925163489125,1.0,0.0,6.0,0
8,,,,1.0,0.036,0.0,0.0,0.0,0.005,1.6041398275580183,-0.346184847503931,,0.0,0.0,0.0,0.005,0.0261984617222538,-0.7257098031047733,,0.0,0.0,1.0,0.016,2.1029876013906663,-0.3345345658043283,,0.0,1.0,0.0,0.005,-0.5396196026160748,,0.0,2.0,1.0,0.012,-0.5493516471749161,-0.1981152077957332,,0.0,0.0,1.0,0.009,1.5461858463041396,-1.348581157188362,,0.0,1.0,1.0,0.006,1.6801929500734465,-1.070546856337972,,0.0,4.0,1.0,0.016,1.4756173115632885,-1.0758591159695974,,0.0,0.0,0.0,0.039,-1.3651557194191644,-1.2141110559897197,,0.0,0.0,0,0.02,-1.2443940220508862,-0.6477786012462144,,,,0
9,,,,1.0,0.02,0.0,0.0,1.0,0.008,0.5465656721812941,-0.9642881912386012,166.36664246428572,1.0,0.0,1.0,0.006,0.7310495260929706,-0.6911246596598697,47.0429998,1.0,0.0,0.0,0.014,-0.3343018681160035,-1.0238776512288918,180.4777138,0.0,2.0,0.0,0.009,-1.1556781467806023,137.69950004285715,0.0,0.0,0.0,0.024,0.936401574589667,-1.2879993653311488,171.87028517142858,1.0,0.0,0.0,0.015,0.8620777082968605,-1.2619509787197454,285.1758573142857,1.0,0.0,0.0,0.008,0.8700940744712471,-1.401052782563537,390.15142867857145,1.0,3.0,0.0,0.038,1.0081669257195702,-1.1773558692614925,196.24642874285712,0.0,1.0,1.0,0.056,0.1306547099631583,-0.8142350741192104,6.273785714285714,0.0,2.0,0,0.051,0.0897978058644761,-1.1701243919016546,,,,1
10,,,,1.0,0.046,0.0,2.0,0.0,0.01,-1.1826347220731082,-0.6347978559729265,167.21085684285714,0.0,0.0,0.0,0.022,-1.508577976875784,-0.1837823278008168,49.514142750000005,0.0,0.0,0.0,0.042,-0.6740960616232329,-0.3326625894535223,183.11535762857145,0.0,0.0,0.0,0.009,2.206154487382649,134.87983542857145,1.0,7.0,0.0,0.075,-1.5951897787872658,1.0146516039792408,172.56007105714286,0.0,0.0,0.0,0.043,-1.4676714596509624,0.4355910750480981,305.2077859357143,0.0,0.0,0.0,0.036,-1.0046266032066151,0.771914479295986,402.1335008928572,0.0,0.0,0.0,0.099,-1.401681709864657,0.9628093542179794,275.20290592142857,0.0,0.0,0.0,0.049,0.3483516888545894,-1.2982013440774645,5.614,1.0,0.0,0,0.04,-0.7276513854702839,1.176140478515895,,,,1
